spin	e_nuc	e_t	e_ext	e_coul	e_xc	e_elec	e_tot	ene_check
0	109.31983798147246	155.03964848589354	-579.6096633911552	183.15088916553583	-23.705002912055377	-265.12412865178175	-155.80429067030929	True
0	116.58394236345947	155.05783836289868	-593.9728852500469	190.28248284311763	-23.74473949056033	-272.37730353459096	-155.7933611711315	True
0	113.27228818486208	155.06094683316303	-587.7582591677722	187.32166986321695	-23.709760070062043	-269.08540254145487	-155.8131143565928	True
0	127.54622137377497	156.2769911891641	-618.7628799740919	202.39534665507395	-24.495878109568203	-284.58642023942207	-157.04019886564708	True
0	119.66968296926035	156.26557625923158	-602.9312786417129	194.38820896813647	-24.44530523729454	-276.72279865163927	-157.05311568237892	True
0	130.80531676530606	157.473054075508	-627.6723343086783	206.34966530792326	-25.227176011436143	-289.0767909366838	-158.27147417137772	True
0	134.8608128786326	157.4781285826133	-635.7665064751633	210.3811535255059	-25.226230441351394	-293.13345480839456	-158.27264192976196	True
0	170.75813277003832	194.13099206291622	-793.4065220442355	263.33513874344857	-29.89042833742832	-365.8308195752994	-195.0726868052611	True
0	203.35307590720177	230.9244586367015	-945.0263196785223	313.2154208089705	-34.48675915644148	-435.37319938928954	-232.02012348208777	True
0	76.83300191196435	238.07925584562952	-721.5843605845417	194.65015974729255	-26.832156699595142	-315.687101691216	-238.85409977925167	True
0	132.88793362070442	337.02262243135465	-1070.4073970475363	299.2683467538223	-36.84060494631634	-470.9570328086754	-338.069099187971	True
0	134.41620461592285	957.9542328766762	-2548.628954077945	559.1626621792918	-62.22447464870922	-1093.7365336706837	-959.3203290547608	True
0	263.7438878002243	1416.8116103407665	-3900.0265557525317	890.6412081860955	-89.91623950165611	-1682.489976727325	-1418.7460889271008	True
0	41.97342843641492	95.32628809702321	-306.8122965031117	87.81685605381723	-14.070659997364055	-137.73981234963537	-95.76638391322045	True
0	57.96410365945825	131.96334499512665	-424.62893887531476	120.67694581924584	-18.610553407876875	-190.59920146882013	-132.63509780936187	True
0	124.00889580915117	243.90136467635932	-823.4802562205311	240.96294407294263	-30.263549968704876	-368.8794974399335	-244.87060163078235	True
0	122.67158444239907	243.91890698029448	-820.9967360113624	239.76094644241923	-30.216752538449757	-367.53363512709984	-244.86205068470076	True
0	62.69422261414616	330.14470276390955	-910.6934563623813	215.18720506916333	-28.3399678178145	-393.70151634712147	-331.0072937329753	True
0	69.74205164978703	188.92368748763948	-586.2981077941727	161.0881981546115	-23.103403738280498	-259.3896258902023	-189.64757424041528	True
0	121.94423293268062	228.00032573741586	-781.5059686672206	231.8859211964886	-29.227979143708435	-350.8477008770245	-228.9034679443439	True
0	121.30611375054932	208.1797790654265	-732.1067759648836	221.5339591576698	-27.971356682049112	-330.3643944238363	-209.058280673287	True
0	76.16370175129994	133.19462721337464	-463.4711231623378	139.7616414549925	-19.449458037572157	-209.9643125315426	-133.80061078024266	True
0	75.52626652533749	184.578347551515	-583.6167162708982	162.2356618653091	-24.237559591383583	-261.04026644545775	-185.51399992012026	True
0	84.21687557164142	134.3945209325592	-482.10207613630047	148.65875215368916	-20.195805545878933	-219.24460859593069	-135.02773302428926	True
0	82.81094299617007	134.4060653036053	-479.3888729387481	147.3319682820939	-20.1999325737385	-217.85077192678753	-135.03982893061746	True
0	58.03813126009344	151.82449453578764	-473.0296926440947	130.5963054120988	-19.91989873133195	-210.52879142754045	-152.490660167447	True
0	75.04419251723861	153.02453812661335	-509.77385610995515	148.75981867491538	-20.7227693887029	-228.71226869712933	-153.6680761798907	True
